EVENT_ID,NAME_2,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER,ID_0,,
10001457,HOUSTON CO., ,4/30/1953,1613,Tornado,0,F4,18,300,25000000,0,GA,CST, , ,C,153, ,0,0, , ,1,333,0, ,0, , ,4/30/1953,1613,32.6,-83.6, , ,,,1,244,,244
5132156,MITCHELL CO.,CAMILLA,2/13/2000,2342,Tornado, ,F3,11,175,20000000,2000000,GA,EST, ,1091370,C,205,TAE,0,0,EMERGENCY MANAGER, ,9.2,300,6,SW,6,SW,CAMILLA,2/14/2000,3,31.16667,-84.26667,31.23333,-84.11667,"A strong tornado tore through two major subdivisions and four mobile home parks just south of Camilla after touching down just east of Branchville.  Damage assessments from the American Red Cross and Federal Emergency Management Agency reported 200 homes destroyed and 250 homes were damaged. Two miles south of Camilla on GA Highway 112, a large trailer manufacturing plant was destroyed.  Eleven fatalities were confirmed by the Georgia Emergency Management Agency, all of which resided in mobile homes. Approximately 175 persons were injured.  The American Red Cross and Salvation Army opened several shelters for the homeless.  Hundreds of acres of pecan trees were uprooted, pine trees snapped, and power lines toppled. Numerous irrigation systems were damaged.  Property damage estimates totalled $20 million with crop losses estimated at $2 million.  Mitchell County was declared a federal disaster area. Reported by the Mitchell County EMA.",,2,244,,
5633550,HALL CO.,MURRAYVILLE,3/20/1998,625,Tornado, ,F3,10,96,15000000,0,GA,EST, ,2073908,C,139,FFC,0,0, , ,9,100,2,S,2,N,CLERMONT,3/20/1998,635,34.38,-83.9,34.52,-83.77,,"The tornado began in northwest Hall county and moved into southern White county. Total distance covered was about 13 miles.  Aerial and ground surveys by NWS employees showed extensive damage along the path. There was significant damage to Lanier Elementary School and North Hall High School. Houses, trailers, businesses, and agricultural interests (namely the poultry industry) were demolished or damaged. Large areas of forest  were flattened. A tractor-trailer truck was thrown 100 feet from the road into a school, killing the driver. All of the other 11 persons killed were in mobile homes. The damage path varied from 50 to 200 yards, but averaged around 100 yards wide.",3,244,,
305268,CATOOSA CO.,BLUE SPRING,4/27/2011,1915,Tornado, ,EF4,8,30,25000000,0,GA,EST-5, ,50924,C,47,FFC,0,0,NWS Storm Survey, ,10.7,586,2,E,4,NNE,POST OAK,4/27/2011,1928,34.8744,-85.1785,34.9868,-85.0485,"A survey conducted by the National Weather Service Forecast Office in Peachtree City, Georgia confirmed that an EF4 tornado, the first of this intensity to occur within the Peachtree City, Georgia county warning area (CWA), touched down in Catoosa county, just southwest of Ringgold along Davis Ridge Road.  The tornado tracked across Interstate-75 at mile marker 348 then continued on into and through the city of Ringgold before tracking northeast toward Cohutta and then into Hamilton and eventually Bradley county, Tennessee.  The tornado tracked nearly 12 miles through Catoosa county.  Major devastation was observed throughout the north side of the city of Ringgold.  The worst damage occurred on Cherokee Valley Road on the north side of Ringgold where 12 homes were obliterated.  An additional 80 to 90 homes sustained major damage from the tornado.  In addition, several commercial businesses, including restaurants and motels, at exit 348 on Interstate-75 were destroyed.  There were eight fatalities and 30 injuries reported with this tornado.  Seven of the eight deaths occurred on Cherokee Valley Road, which was heavily devastated by the tornado.  Most of the tornado victims lived within 200 yards of each other and were killed when their homes collapsed around them.  Finally, hundreds of trees and dozens of power lines and utility poles were also destroyed by the tornado.  This was by far the deadliest and most devastating of the 15 tornadoes to affect north and central Georgia during this tornado outbreak.||Total damages from Catoosa county consist of 74 destroyed homes and/or businesses, 60 with major damage, and 118 with minor damage for a total of 252 affected structures.||[04/27-04/28/11: Tornado #4, County #1-1, EF4, Catoosa, 2011:013].","A highly diffluent, deep upper trough, centered across Texas, took on a negative tilt and began to rotate northeast during this period.  A strong maritime-Pacific (mP) cold front accompanied the upper trough through the mid-south into the southeast from the early morning hours of the 27th to the early morning hours of the 28th.  An intense low-level jet with winds in excess of 70 knots was noted in advance of this system and tracked across the mid-south early on the 27th, across north Alabama and north Georgia into the early morning hours of the 28th.  West-southwest winds aloft were highly diffluent and near 200 mph across this same region.  The strong low-level jet brought unseasonably, warm, moist Gulf air northward in advance of the mP cold front.  Dewpoints in the 70s and maximum temperatures in the 80s combined with the extremely strong low-level and upper jets to create an almost perfect environment for severe thunderstorms and large devastating tornadoes.  Indeed, the tornado outbreak that affected much of the eastern U.S., but particularly the south central and southeastern U.S. during this period, was unprecedented and likely the largest recorded in U.S. history.  The tornado outbreak that accompanied this combination of weather features has been termed the 2011 Super Outbreak, an outbreak even worse than the 1994 and 1974 super tornado outbreaks across the eastern U.S.  The outbreak affected the South Central, Southeast, Midwest, and even the usually less tornado prone Northeastern United States.  Over 330 tornadoes were reported during this outbreak which began on April 25th and continued into the 28th affecting 21 states from Texas to New York.  Even isolated tornadoes were noted in Canada.  Nearly 350 people died from these tornadoes, of which over 230 of these were in Alabama alone.  Four tornadoes on April 27th in Alabama and Mississippi were ranked EF5, the highest tornado damage rating on the Enhanced Fujita Scale.  On average, there is only one EF5 tornado per year in the entire U.S.||Widespread and destructive tornadoes occurred on each day of the outbreak, but April 27th was clearly one of the most prolific and destructive tornado days in U.S. history, probably only surpassed by the Tri-State outbreak of 1925 and the Tupelo-Gainesville outbreak of 1936.  The 24-hour period from 8 am April 27th to 8 a.m. April 28th is listed by the National Oceanic and Atmospheric Administration (NOAA) as the fourth deadliest tornado outbreak in U.S. history, with the 24 hours commencing April 28th at 8 a.m. as the fifth deadliest tornado day in U.S. history.  It has also been determined to be the costliest tornado outbreaks and one of the costliest natural disasters in the U.S., even after adjustments for inflation, with total damages estimated to exceed $10 billion. ||Georgia was heavily impacted by this tornado outbreak, especially the northwest part of the state which bore the brunt of the massive supercell thunderstorms producing killer tornadoes that tracked east-northeast from northern Alabama during the late evening.  All together, there were 15 tornadoes affecting 28 counties within the Peachtree City, Georgia 96-county warning area (CWA) of North and Central Georgia.  All of these occurred within a 24-hour period commencing at 8 am April 27th.  One of these tornadoes was rated an EF4, the first EF4 tornado in Georgia since the Palm Sunday outbreak in 1994.  In addition, there were also four EF3 tornadoes.  Fifteen tornado-related deaths were observed in north and central Georgia, the most tornado-related deaths within the Peachtree City, Georgia forecast area since its inception in 1994.  The previous highest tornado-related death total was 12 on March 20, 1998, when a tornado struck Gainesville, Georgia.||Finally, it should be noted that while the most significant period of severe weather during this outbreak for Georgia was from the afternoon of the 27th through the early morning hours of the 28th, there was an initial round of severe weather across northwest Georgia early on the 27th as a decaying line of severe thunderstorms moved into the region from northeast Alabama.  Widespread wind damage and even a few brief weaker tornadoes accompanied this system into the northwest counties of the state.",4,244,,
889259,MURRAY CO.,TREADWELL,4/12/2020,2045,Tornado, ,EF2,8,24,500000,0,GA,EST-5, ,147540,C,213,FFC,0,0,NWS Storm Survey, ,8.88,860,3,NE,2,SSE,GREGORY,4/12/2020,2055,34.8098,-84.8377,34.9251,-84.7686,"A National Weather Service survey found that an EF2 tornado with maximum winds of 135 mph and a maximum path width of 860 yards occurred in Murray County. The tornado touched down along Mitchell Bridge Road, just northwest of the Indian Trace Golf Course where several trees were snapped. The tornado moved northeast crossing Highway 286 and Twin Lakes Road where a few trees were snapped or uprooted and|minor damage occurred to several homes. The tornado appeared to briefly strengthen around Ellis Circle where there was more notable exterior damage to homes and a greater number of trees uprooted. As the tornado continued northeast crossing Fullers Chapel Road, noticeable strengthening occurred. Aerial drone footage showed a wide swath of large trees blown down just before Norton Bridge Road. At least 8 double-wide manufactured homes were completely destroyed along Deer Park Drive, with several others sustaining some degree of damage. It was here the tornado quickly strengthened to EF2 intensity with winds around 125 MPH. Similar, significant, damage was seen along Ridgeview Lane and Fieldview Court, where additional manufactured homes were destroyed and a recently built cell tower was left crumpled by the intense winds. At this point, the tornado reached its peak intensity with maximum wind speeds around 135 MPH. The tornado maintained its EF2 intensity as it crossed over Zion Church Hill Road, just before Highway 225. As the strong tornado crossed Highway 225, a small single-family home was heavily damaged with just a couple of interior walls left standing. Along Jim Petty Road, 4 large chicken houses were damaged or destroyed with the debris thrown several hundred yards away.  Further north along Jim Petty Road, near Hawkins Road, the damage appeared to lessen quickly with just a few trees blown down and minor roof damage to a shed. Some additional damage, mainly trees being snapped or uprooted, was seen along Halls Chapel Road, just before Temple Grove road. The tornado lifted just beyond this point, along Sumac Ridge. Eight people were killed and around 2 dozen injured in the area between Fullers Chapel Road and Jim Petty Road. [04/12/20: Tornado #2, County #1/1, EF-2, Murray, 2020:008].","A powerful Spring storm system resulted in a Severe Weather / Tornado outbreak across much of the Southeast region, including north and central Georgia, beginning on Easter Sunday (April 12th) and lingering into the morning hours of April 13th. From the Storm Prediction Center (Day 1) convective outlook, just about the entire area was under an ENHANCED risk for severe weather with a MODERATE risk extending from the ArkLaMiss into western Georgia.||In addition, enhanced rainfall occurred over far north Georgia and in portions of central Georgia, with rainfall amounts ranging from 3 to 8 inches through the event. Significant flooding was in portions of the area with numerous reports of washouts and several reports of rescues.",5,244,,
673083,COOK CO.,GREGGS,1/22/2017,335,Tornado, ,EF3,7,45,1500000,0,GA,EST-5, ,112358,C,75,TAE,0,0,NWS Storm Survey, ,10.9,700,2,S,6,SSE,MASSEE,1/22/2017,349,31.0351,-83.4852,31.1092,-83.3226,"This is a continuation of the northeast Brooks county tornado.  The tornado then continued into Cook County. Still at EF-3 strength, it swept about 35 manufactured homes into a pile of rubble at the far end of the Sunshine Acres mobile home park. Seven people lost their lives. The tornado then went on to destroy about two thirds of a brick home on Val Del Road, collapsing in two walls and removing most of the second story. Another home built of concrete blocks was destroyed. A nearby farm had several concrete anchors for a large metal structure pulled from the ground.  Max winds were estimated near 140 mph.  Damage cost was estimated.","A multi-day severe weather event struck the southeast January 21-22, 2017 with three rounds of severe weather moving through the area. The first round of severe weather started during the mid-morning hours on Saturday, January 21, 2017 as a squall line pushed into southeast Alabama and the Florida panhandle. As it pushed eastward nine warnings were issued with a total of 18 damaging wind reports (trees and power lines downed) related to these storms. ||After a brief lull during Saturday evening as the aforementioned squall line washed out near the Gulf Coast, strong southerly flow returned late Saturday night as a warm front pushed northward across the Florida Big Bend and southern Georgia. Initially with this late Saturday night to early Sunday morning event, a strong supercell moved across southern Georgia producing a tornado that moved across Thomas and northern Brooks Counties. This was the first tornado across the area with this multi- day event. From the same supercell that produced the tornado in Thomas and northern Brooks Counties, another tornado developed that tracked across Brooks, Berrien and Cook Counties and this tornado resulted in 11 fatalities. This overnight into early Sunday morning event produced one more tornado, an EF-1 that struck Lowndes County. ||A final round of severe weather moved through Sunday afternoon as a warm front continued to push northward into southeast Alabama and southern Georgia while the main low and trailing cold front pushed eastward across the Florida panhandle and offshore regions. This afternoon round of supercells first produced a tornado in Henry County, AL. An hour and a half after the Henry County tornado, two more tornadoes developed, an EF-2 that struck Clay, Randolph and Calhoun Counties (Georgia) and an EF-1 tornado that hit Franklin County, FL. After this, a long tracked tornado (track length of more than 70 miles) moved across Albany (Dougherty County) and into Worth and Turner Counties, causing extensive damage and five fatalities. ||Overall this multi-day event resulted in seven tornadoes, 16 deaths and numerous injuries. Three days of damage surveys were conducted to rate the tornadoes on the Enhanced Fujita scale.",6,244,,
9993539,GORDON CO., ,4/3/1974,1640,Tornado,0,F4,6,25,2500000,0,GA,CST, , ,C,129, ,0,0, , ,6.6,150,0, ,0, , ,4/3/1974,1640,34.5,-85.05,34.57,-84.97,,,7,244,,
5132157,GRADY CO.,CAIRO,2/14/2000,49,Tornado, ,F3,6,15,3500000,3000000,GA,EST, ,1091370,C,131,TAE,0,0,EMERGENCY MANAGER, ,8.5,300,10,N,10,N,CAIRO,2/14/2000,55,31.01667,-84.2,31,-84.05,"A strong tornado tore through northern Grady County, then crossed into extreme northwest Thomas County.  Fifteen homes were destroyed and numerous damaged.  Fifteen persons were injured, mostly from flying debris.  Six fatalities were confirmed by the Georgia Emergency Management Agency:  four deaths in mobile homes and two in a woodframe home.  Scores of pecan trees were uprooted, pine trees snapped and power lines toppled.  Farmers suffered major losses to irrigation equipment, trailers and shelters.  Eight chicken houses were flattened, killing a half million chickens. Grady County was declared a federal disaster area.  Reported by the Grady County EMA.",,8,244,,
22275,BAKER CO.,NEWTON,3/1/2007,2344,Tornado, ,EF2,6,3,1250000,0,GA,EST-5, ,3979,C,7,TAE,0,0,NWS Storm Survey, ,14.8,200,7,W,9,NE,NEWTON,3/2/2007,0,31.32,-84.4485,31.412,-84.2222,"An EF-2 tornado touched down in rural Baker County west of Newton, then traveled rapidly northeast, and caused extensive damage to a mobile home park a mile north of Newton.  Six people died and three were injured when their mobile homes were demolished by the tornado.  A church was destroyed on State Highway 37 a few miles west of Newton.  GEMA and FEMA damage assessments determined ten minor damaged homes, nine major damaged homes, and 18 destroyed homes.  The tornado crossed into northern Mitchell County north of Baconton.  A state of emergency was declared by the Governor.","Severe thunderstorms developed during the afternoon of March 1 ahead of advancing warm front across southwest Georgia, producing several reports of wind damage.  Later that evening into the predawn hours of March 2, a squall line formed ahead of a cold front, with several reports of wind damage and tornadoes across portions of southwest and south central Georgia.  One of the tornadoes tore through a mobile home park just north of Newton, killing six and injuring three.",9,244,,
10001469,BIBB CO., ,3/13/1954,2200,Tornado,0,F3,5,50,2500000,0,GA,CST, , ,C,21, ,0,0, , ,15.5,300,0, ,0, , ,3/13/1954,2200,32.78,-83.87,32.87,-83.62,,,10,244,,
